                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71304,                  2.761,                 1.2607,                0.80714,                0.72494,                0.82347,                0.70524,                 0.6215,                0.83486,                 1.2756,               0.003332,               0.003332,               0.003332
                      2,                0.60487,                  1.429,                 1.1368,                0.91215,                0.88476,                0.95297,                0.86409,                0.45625,                0.49644,                 1.1013,              0.0066323,              0.0066323,              0.0066323
                      3,                 0.5969,                 1.1221,                 1.1252,                0.90513,                0.90648,                0.96173,                0.85465,                0.52033,                0.47914,                 1.1692,              0.0098997,              0.0098997,              0.0098997
                      4,                0.55263,                 0.9026,                 1.0992,                0.96085,                0.95494,                0.98673,                0.90726,                0.41307,                0.31362,                 1.0657,              0.0098515,              0.0098515,              0.0098515
                      5,                0.50026,                 0.7808,                   1.07,                0.97903,                0.95636,                0.98883,                0.92704,                0.36507,                 0.2648,                 1.0118,               0.009802,               0.009802,               0.009802
                      6,                0.46565,                0.71722,                 1.0531,                0.98452,                0.97389,                0.99277,                0.93365,                0.36627,                0.23154,                 1.0181,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.4475,                0.67832,                 1.0437,                0.98674,                0.97772,                0.99204,                0.93183,                0.36828,                0.22238,                 1.0234,               0.009703,               0.009703,               0.009703
                      8,                0.43411,                0.65108,                 1.0384,                0.97905,                0.97818,                0.99311,                0.93488,                0.35927,                0.21676,                 1.0144,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.4276,                0.63197,                 1.0338,                0.98757,                0.98111,                0.99277,                0.93961,                0.34271,                0.20272,                 0.9986,               0.009604,               0.009604,               0.009604
                     10,                 0.4184,                0.61742,                 1.0307,                0.98314,                0.98458,                0.99379,                0.94863,                0.32819,                 0.1942,                0.98474,              0.0095545,              0.0095545,              0.0095545
                     11,                0.41467,                0.60305,                 1.0275,                0.98803,                0.98848,                0.99391,                0.94831,                0.32798,                0.18549,                0.98641,               0.009505,               0.009505,               0.009505
                     12,                0.40784,                0.59708,                 1.0252,                0.98688,                0.98845,                0.99371,                0.94407,                0.34017,                0.18606,                  0.993,              0.0094555,              0.0094555,              0.0094555
                     13,                0.40273,                0.58514,                 1.0222,                0.99258,                  0.986,                0.99349,                0.94728,                0.33656,                0.19068,                0.99164,               0.009406,               0.009406,               0.009406
